Supplier Code,Brand,Task Code,Purchase Code,Contact Information,Company Name,Country,Website,Description,Fisrt Communicated By,store link
S-156,Yokogawa,367,,Wechat Num: 15919226626 ,"Zhuhai Yangming Automation Equipment Co., Ltd.",china ,,Wechat - 10 years,Hana ,
S-157,Weidmuller,100,100,Wechat Number: 13348226327,Trading Company Jiading District,China,,We chat,Hana,
S-158,,,,,,,,,,
S-159,Siemens,"402, 365, 1167,2025-280",,Wechat Number:zc3130369052,-,China,,We chat-*,Hana,
S-16,,,,,,,,,,
S-160,Weidmuller,59,,Wechat Num:  18065927381,"Xiamen Miller Electrical Equipment Co., Ltd.",China,,Wechat- 11 years,Hana,
S-161,ABB,368,,Wechat Number: HTECHNIK,-,China,,We chat - Motor-*,Hana,
S-162,"Omron , Nordac",374,,Wechat Number: A17728001628,-,China,,We chat - 4 years ,Hana,
S-163,Norgren,397,,Wechat Number: IMINORGREN,-,China,,We chat- *,Hana,
S-164,Norgren,397,,Wechat Number: 18968609865,-,China,,We chat- *,Hana,
S-165,Honeywell,365,,-,-,China,,We chat- *,Hana,
S-166,Schneider,395,,Wechat Number: Everythingisokla,-,China,,We chat- *,Hana,
S-167,Shihlin ,400,,Wechat Number:13632640259,"Shenzhen Bailiwei Electronics Co., Ltd.",China,,We chat- 14 Years,Hana,
S-168,Shihlin ,400,,Wechat Number:13536135236,"Zhongshan Gaoyou Mechanical and Electrical Trading Co., Ltd.",China,,We chat- 6 Years,Hana,
S-169,CEAG ,389,,Wechat Number:13912699902,"Kunshan Beiyuan Electric Co., Ltd.",China,, 2 Years,Hana,not add
S-17,,,,,,,,,,
S-170,CEAG ,390,,Wechat Number:18964509181,"Gongguan (Shanghai) Electrical and Mechanical Equipment Co., Ltd.",China,, 9 Years,Hana,not add
S-171,Wika,394,,Wechat Number:wika930122,-,China,,We chat- *,Hana,
S-172,Wika,394,,Wechat Number:a15718877638,-,China,,We chat- *,Hana,
S-173,"ABB, bently ",398,,Wechat Id: Jdauto,-,China,,We chat- *,Hana,
S-174,Telemecanique,409,,Wechat Id: 13530331871,"Shenzhen Yunmin Instrument Co., Ltd.",China,,We chat- 11 years,Hana,not add
S-175,Airtac  ,409,,Wechat Id: 13535144122,"Guangzhou Tianshui Changyi Electric Co., Ltd.",China,,We chat- 16 years,Hana,not add
S-176,Airtac  ,409,,Wechat Id: 13621728908,"Shanghai Xianying Automation Equipment Co., Ltd.",China,,We chat- 8 years,Hana,not add
S-177,Airtac  ,409,,Wechat Id: 37  2028   1260,"Wuhan Zhongrui Hi-Tech Precision Measurement and Control Technology Co., Ltd.",China,,We chat- 15 years,Hana,not add
S-178,Airtac  ,409,,Wechat Id: 15307113558,"Wuhan Shangrun Huiteng Instrument & Electrical Co., Ltd.",China,,We chat- 14 years,Hana,not add
S-179,Airtac  ,409,,Wechat Id: 13923705431,"Shenzhen Yaquante Technology Co., Ltd.",China,,We chat- 10 years,Hana,not add
S-18,,,,,,,,,,
S-180,Siemens,221,,Wechat Id: CathyCooo,-,China,,We chat- *,Hana,
S-181,Schneider,221,,Wechat Numner: 13682651869,"Shenzhen Baichenxin Automation Technology Co., Ltd.",China,,We chat-  12 years,Hana,
S-181,ABB,TDR406,,Wechat Num:13682651869,"Shenzhen Baichenxin Automation Technology Co., Ltd.",China ,,wechat- 13 years,Hana ,
S-182,Allen Bradley,436,,Wechat Numner:13929492672,"Dongguan Legend Intelligent Technology Co., Ltd.",China,,We chat-  7 years,Hana,
S-183,Shihlin ,400,,Email Address: lynn@taiwan-control.com.tw,"Taiwan Controls & Machinery Industrial Co., Ltd.",Tiwan,,Main Supplier,Hana,
S-184,HBM,473,,Wechat Id: sph2008,"Gurui Instruments (Shanghai) Co., Ltd.",China ,,We chat-6 years,Hana,
S-185,Eaton,462,,Wechat Number:13816060438,"Shanghai Guilun Automation Equipment Co., Ltd.",China ,,We chat-8 years,Hana,not add
S-186,Danfoss,458,,Wechat Number:13926285288,"Guangzhou Sizhuo Trading Co., Ltd.",China ,,We chat-7 years,Hana,not add
S-187,Eaton,462,,Wechat Number:18151542513,"Shanghai Hengwo Electrical Equipment Co., Ltd.",China ,,We chat-4 years,Hana,
S-188,Eaton,462,,Wechat Number:15711883876,"Guangzhou Taike Electronic Technology Co., Ltd.",China ,,We chat-13 years,Hana,
S-189,NORGREN ,467,,Wechat Number: 18951617582,"Nanjing Northrop Grumman Automation Systems Co., Ltd.",China ,,We chat-10 years,Hana,not add
S-19,,,,,,,,,,
S-190,Schneider,430,,Wechat Number:13641970791,"Peihong Automation Equipment (Shanghai) Co., Ltd.",China ,,We chat-2 years,Hana,not add
S-191,NORGREN ,467,,Wechat Number:18938223408,Dongguan Shijie Kerida Automation Machinery Equipment Firm,China ,,We chat-2 years,Hana,not add
S-192,Allen Bradley,478,,Wechat Number:13720878166,"Xiamen Dongsinan Machinery Equipment Co., Ltd.",China ,,We chat-12 years,Hana,
S-193,Fuji,484,,Wechat Number:15810622933,Beijing Wanguo Fenfa Technology Center,China ,,We chat-8 years,Hana,
S-194,SAMSON CONTROLS ,507,,Wechat Number:13305927836 ,"Fuzhou Hairun Automation Equipment Co., Ltd.",China ,,We chat-15 years,Hana,
S-195,Norgren,503,,Wechat Number:18951617582,"Nanjing Northrop Grumman Automation Systems Co., Ltd.",China ,,We chat-10 years,Hana,
S-196,"Honeywell, yokogawa, GE","508, 1172",,Wechat Number: 18350213973,"Jinhua TuRan E-commerce Co., Ltd.",China ,,We chat-5 years,Hana,
S-197,ASCO,504,,Wechat Number: 13829121517,Dongguan Nancheng Kangping Electronics Sales Department,China ,,We chat-15 years,Hana,
S-198,DET-TRONICS,497,,Wechat Number: 18017899657,"Junwei Supply Chain (Shanghai) Co., Ltd.",China ,,We chat-1 years,Hana,
S-199,TELEMECANIQUE,510,,Wechat Number: 136 91668515,"Shenzhen Honest Technology Co., Ltd.",China ,,We chat-13 years,Hana,
S-20,,,,,,,,,,
S-200,Watlow ,455,,E-mail: pyou@watlow.com,"Watlow Electric Manufacturing(Shanghai) Co., Ltd",China ,,Main Supplier,Alexander ,
S-201,CESCOR,535,,E-mail: paolo.marcassoli@cescor.it,Cescor Srl,Italia,,Main Supplier,Hana,
S-202,HB,"312, 338",,Wechat Number: ,,Hong Kong,,Main Supplier,"Hana, Alexander",
S-203,Huaibei,540,,Wechat Number: 19956037060,"Huaibei Huadian Automation Technology Co., Ltd.",China,,Main Supplier,Alexander ,
S-204,Advantech,540,,Wechat Number: ,Wait,China,,,Alexander ,
S-205,Advantech,540,,Wechat Number: ,Wait,China,,Main Supplier,Alexander ,
S-206,Crowcon,373,,Wechat Number: 18833852661,Wait,China,,,Alexander ,
S-207,advantech,540,,,,,,Main Supplier,Alexander ,
S-208,J-Schneider,430,,E-mail: yj-sales@yjtech.com.tw,Y & J Tech INC,,,Main Supplier,Hana,
S-209,Siemens,"561,858",,Wechat Number: 13818485929,"Shanghai Licheng Industrial Automation Equipment Co., Ltd.",China ,,We chat-6 years,Hana,
S-21,,,,,,,,,,
S-210,Siemens,561,,"We chat ID: FSAUTOMAT
Email: ryan@fsautomat.com
Phone: +86 15799924566 ", FSAutomat Electronic co Ltd,China ,,we chat-,Hana,
S-211,Vega,"576, 574",,We chat Number: 19968213789,"Guangxi Ernst Automation Equipment Co., Ltd.",China,,we chat- 2 years ,Hana ,
S-212,Allen Bradley,600,,We chat Number: 13925529655,"Dongguan Zhongde Automation Technology Co., Ltd.",China,,We chat-4 years,Hana ,
S-213,phoenix contact,"616, 628",,We chat ID : NothingJason ,"Shnghai yuan zinc automation system co.,Ltd.",China,,We chat-3 years,jasmine ,
S-214,phoenix contact,616,,We chat Number: 15859014581 ,"Fuzhou Nanrun Automation Technology co.,Ltd.",China,,We chat-8 years,jasmine ,
S-215,,617,,We chat Number: 13661766554,,China,,We chat-9 years,Hana ,
S-216,Honeywell,656,,We chat Number: 18949841049,"Hefei Xisheng Automation Equipment Co., Ltd.",China,,We chat-12 years,Hana,
S-217,Parker,623,,We chat Number: 13235338520,"Zibo Dingke Trading Co., Ltd.",China,,We chat-6 years,Hana,not add
S-218,philips/OSRAM,625,,"We chat number: 15813170499
Phone:  13925160619","ENXILI(SHENZHEN) SMART LIGHTING Co., Ltd.",China,,We chat-4 years,jasmine,
S-219,explosion-proof phone,673,,We chat Number: 15253796694,"Jining Muhua Machinery Equipment Co., Ltd.",China,,We chat-7 years,Hana,not add
S-22,,,,,,,,,,
S-220,explosion-proof phone,673,,We chat Number: 15653751022,"Jining Yongmei Mining Machinery Co., Ltd.",China,,We chat- years,Hana,not add
S-221,Dynisco,654,,We chat Number: 13733417726,"Xiaogan Yueneng Electronic Technology Co., Ltd.",China,,We chat-9 years,Hana,
S-222,Dynisco,654,,We chat Number: 13360610512,"Shenzhen Hongyuan Automation Control Co., Ltd.",China,,We chat-9 years,Hana,
S-223,Ebara corporation,676,,We chat ID : wck9099,"Guangzhou Dejing Trading Co., Ltd.",China,,We chat-1 year,jasmine,
S-224,DELIMON,691,,We chat Number: 15382215183,"Dalian Lidi Fluid Control Technology Co., Ltd.",China,,We chat-21 year,Hana,
S-225,ASCO,694,,We chat Number: 15227200908,Botou Hengteng Environmental Protection Machinery Equipment Factory,China,,We chat-9 years,jasmine,not add
S-226,ASCO,694,,We chat Number: 13633275044,"Hebei shengqiang Environmental Protection Equipment Co., Ltd.",China,,We chat-6 years,jasmine,not add
S-227,ASCO,694,,We chat Number: ,"Suzhou Liya Hydraulic and Pneumatic Co., Ltd.",China,,We chat-9 years,jasmine,not add
S-228,SCHNEIDER ,692,,We chat Number: ,,China,,We chat-9 years,jasmine,
S-229,SCHNEIDER ,692,,We chat Number: ,"shenzen Zhongchuang Automation Technology Co., Ltd.",China,,We chat-2years,jasmine,
S-23,,,,,,,,,,
S-230,WEIDMULLER,692,,Phone: 13962148404,"Suzhou Industrial Park Changkong Co., Ltd.",China,,We chat-15years,jasmine,
S-231,WEIDMULLER,692,,PHONE:13962148404,"Suzhou Industrial Park Yangkong Electrical Co., Ltd.",China,,We chat-5years,jasmine,
S-232,WEIDMULLER,692,,We chat Number: ,"Ganzhou Jingsu Automation Equipment Co., Ltd.",China,,We chat-2 years,jasmine,
S-233,Allen Bradley,681,,We chat Number: qwe137427,"Xiamen Zhihe Tianlun E-commerce Co., Ltd.",China,,We chat-1 years,Hana,not add
S-234,ROSEMOUNT,706,,We chat Number: 18697940132,"Foshan Chunqinjia Trading Co., Ltd.",China,,We chat-1 year,jasmine,
S-235,ROSEMOUNT,706,,We chat ID:  gsaz12,"Guangzhou Congfei Trading Co., Ltd.",China,,We chat-1 year,jasmine,
S-237,WIKA,708,,We chat Number: wxid_om9syjout7ou21,"WIKA International Trading (Shanghai) Co., Ltd.",China,,We chat-2 year,jasmine,
S-238,Leine Linde,713,,We chat Number: 13358380696,"Xiamen Fuderong Trading Co., Ltd.",China,,We chat-4 years ,Hana,
S-239,Schneider,705,,We chat Number: 15779887704,"Ganzhou Gemilian Automation Technology Co., Ltd.",China,,We chat-1 years,Hana,not add
S-24,,,,,,,,,,
S-240,Schneider,705,,We chat Number: 13376981664,Xiamen Siming District Jiesiweier Electrical Equipment Business Department (individual business owner),China,,We chat-1 years,Hana,not add
S-241,Schneider,705,,We chat Number: 18030177860 ,"Xiamen Rongfeng Electrical Equipment Co., Ltd.",China,,We chat-1 years,Hana,not add
S-242,Allen Bradley,734,,We chat Number: 15359257375 ,"Xiamen Rongfeng Electrical Equipment Co., Ltd.",China,,We chat-4 years,Hana,
S-243,Rittal,711,,We chat Number: 13437135148,"Wuhan Huineng Juyuan Electric Co., Ltd.",China,,We chat-1 years,Hana,not add
S-244,Rittal,711,,We chat Number: 13641968305,"Shanghai Xiaoqian Technology Development Co., Ltd.",China,,We chat-9 years,Hana,not add
S-245, Cutler Hammer,753,,We chat Number: 15905696881,"Shanghai Hulang Electric Co., Ltd.",China,,We chat-10 years,Hana,
S-246,Bently Nevada,771,,We chat Number: ,"Nanjing Liutuan Electric Co., Ltd.",China,,We chat-6 years,Jasmine,
S-247,Bently Nevada,771,,We chat Number: 18060916717,"Xiamen Aotu Meixun Trading Co., Ltd.",China,,We chat-1 years,Jasmine,
S-248,VEGA,781,,We chat Number: 18859591941,"Xiamen Bali Cat Technology  Co., Ltd.",China,,We chat-1 years,Jasmine,
S-249,SICK,781,,We ID: jmpanasonic,,China,,We chat-1 years,Jasmine,
S-25,,,,,,,,,,
S-250,E+H,781,,We chat ID: CHAOCHAO2701,,China,,,Alexander ,
S-251,EMERSON,781,,We chat number: 18964875253,"Gongguan (Shanghai) Electrical and Mechanical Equiment Co., Ltd.",China,,We chat-9 years,Jasmine,
S-252,LABOM,781,,We chat number: ,"Foshan Zhaohua Black Gold Trading Co., Ltd.",China,,We chat-1 years,Jasmine,
S-253,AEG,788,,We chat number: ,,China,,We chat-1 years,Jasmine,
S-254,Allen Bradley,2242,,Wechat Num: CHNWH168,"Wuhan Hongchuang Weiye Technology Co., Ltd.",China ,,wechat - 15 years ,Hana ,
S-255,Allen Bradley,799,,We ID: xcc-xcc-xcc-,,China,,We chat-5years,Jasmine,
S-256,Allen Bradley,799,,We ID: ,"Xiamen Taini Electric Co., Ltd.",China,,We chat-5years,Jasmine,
S-257,Siemens,795,,Wechat NUM: 18569098699,"Hunan Chengkui Automation Equipment Co., Ltd.",China,,We chat-3years,Jasmine,
S-258,Togami,797,,Wechat NUM: 18022090710,Zhongshan Junling Electronics Sales Center,China,,We chat-11years,Hana,
S-259,"EATON,Nais","7,941,609",,Wechat NUM: 13588993658,"Leji Junxin Auomation Equipment Co., Ltd.",China,,We chat-13years,Jasmine,
S-26,,,,,,,,,,
S-260,EATON,794,,Wechat NUM: 17317361136,"Shanghai Mingij Electric Co., Ltd.",China,,We chat-8years,Jasmine,
S-261,Schneider,804,,Wechat NUM: 13816965793,"Shanghai Xingshen Instrument Co., Ltd.",China,,We chat-18years,Hana,
S-262,Allied Telesis,823,,We chat ID: szblwjd,"Shenzhen Bailiwu Mechanical and Electrical Equipment Co., Ltd.",China,,We chat-6years,Jasmine,
S-263,Pietro Fiorentini,823,,Wechat NUM: ,"Shenzhen Sennis Technology Co., Ltd.",China,,Wechat-10 years,Jasmine,
S-264,DOLD,824,,We chat Num: 13395992973,"Xiamen Qiantu Trading Co., Ltd.",China,,Wechat-8 years,Hana,not add
S-265,Meanwell,"827, 1001",,Wechat NUM: 18951118828,,China,,We chat-14years,Jasmine,
S-266,DOLD,824,,Wechat NUM: 13901600675,"Shanghai Kailu Electric Automation Control Equipment Co., Ltd.",China,,We chat-19years,Hana,not add
S-267,Yokogawa,826,,Wechat NUM: ,"Shanghai Qian Electronic Technology Co., Ltd.",China,,We chat-7years,Jasmine,
S-268,Yokogawa,826,,Wechat NUM: 13572551902,,China,,We chat-1years,Jasmine,
S-269,Hirschmann,823,,Wechat NUM: 13859681713,"Ningde Okosi Technology Co., Ltd.",China,,1688-3 years,Jasmine/peter ,https://detail.1688.com/offer/732876495397.html?spm=a26352.13672862.offerlist.1.5a601e62PGXpKG
S-27,,,,,,,,,,
S-270,Hirschmann,823,,Wechat NUM: ,"Hunan Smart Star Electronic Technology Co., Ltd.",China,,We chat-3 years,Jasmine,
S-272,DOLD,824,,Email : johnson@pcc.com.hk,-,Hongkong,,Main Company,Hana,
S-273,SCHNEIDER ELECTRIC,820,,Wechat NUM: 18060916717,"Xiamen Aotu Meixun Trading Co., Ltd.",China ,,We chat-1years,Hana,not add
S-274,foxboro,825,,Wechat NUM: 13971009573,-,China ,,wechat - 1 year,Hana,not add
S-275,Wago,828,,Wechaht Num:1992991929,-,China ,,We chat-4years,Hana,not add
S-276,NORD,828,,Wechaht Num:17306704706,"Chengdu Mengchengfeng Trading Co., Ltd.",China ,,We chat-1years,Hana,not add
S-277,SCHMERSAL,828,,Wechaht Num:135 5383 5313,"Dongguan Bomei Intelligent Technology Co., Ltd.",China ,,We chat-2years,Hana,not add
S-278,Belden ,823,,Emil:amy.wang@ericelectronics.com,,China ,,,jasmine,
S-279,Samkoon,862,,Wechaht Num:18926489119,Shenzhen Baoan District Hualian Electrical Equipment Sales Department,China,,Wechat-11 years,Hana,
S-28,,,,,,,,,,
S-280,GE panametrics,846,,Wechaht ID : ouya17,,China,,Wechat-10 years,jasmine,
S-281,Vega,873,,Wechaht num : 13915513800,"Suzhou Chifee Electromechanical Equipment Co., Ltd.",China,,Wechat-10 years,jasmine,
S-282,Kubler,874,,Wechat ID: l54996452,"Shanghai Hanling Machinery Equipment Co., Ltd.",China,,Wechat-7 years,Hana,
S-283,PROSOFT,869,,Wechaht ID: LyfSunnyTaurus,,China,,,,
S-284,phoenix contact,869,,Wechaht num : ,"Fuzhou Nanrun Automation Technology Co., Ltd.",China,,Wechat-8 years,Jasmine,
S-285,Balluff,875,,Wechaht num : 13714766891,"Shenzhen Tianwei Mechanical and Electrical Equipment Co., Ltd.",China,,Wechat-17 years,Hana ,
S-286,Samkoon,862,,Wechat num:18028740177,"Shenzhen Xiaorui Technology Co., Ltd.",China,,Wechat-3 years,Hana ,not add
S-287,WEIDMULLER,"878 , 692",,wechat Num: 158 6534 3678,"Tianjin Quanjing Technology Co., Ltd.",China,,Wechat-12 years,Hana ,
S-288,"WEIDMULLER , eaton","878, 91",,Wechat num:13410646086,"Shenzhen Yuanlida Electronics Co., Ltd.",China,,Wechat-16 years,Hana ,
S-289,Yokogawa,870,,,"Jiangsu Puneng Instrument Co., Ltd.",China,,Wechat-1 years,Jasmine,
S-29,,,,,,,,,,
S-290,Schneider,883,,Wechat num:13728878963,,China,,Wechat-13 years,Jasmine,
S-291,Siemens,889,,Wechat num:13348030878,"Suzhou Langdao Electronics Co., Ltd.",China,,Wechat-1 years,Jasmine,
S-292,Epcos,889,,Wechat num:18681457483,"Shenzhen Yipu Electronics  Co., Ltd.",China,,Wechat-2 years,,
S-293,Epcos,889,,Wechat num:17841056989,"Shenzhen Xinkangda Electronics Co., Ltd.",China,,,,
S-294,Beijer,894,,Wechat num:sz28169936,"Shenzhen Yifeida Technology Co., Ltd.",China,,Wechat-15 years,Hana,
S-295,schneider,893,,Wchat Num:137 127 75152,"Dongguan Zhantuo Mechanical and Electrical Equipment Co., Ltd.",China,,Wecaht-11 years,Hana,
S-296,EMERSON,853,,Wchat ID: liao56660,,China,,Wecaht-1 year,jasmine,
S-297,Endress+Hauser,905,,Wechat num: 18028757262,"Shenzhen Anyitech Technology Co., Ltd.",China,,Wechat-special mark,Hana,
S-298,Siemens,902,,Wechat num: 18618511921,-,China,,Wechat-9 years,Hana,
S-299,Yokogawa,914,,Wechat num: fenghang0551,"Hefei Fenghang Automation Equipment  Co., Ltd.",China,,Wechat-10 years,jasmine,
S-30,,,,,,,,,,
S-300,PULS,894,,Wechat ID:t13072262540,"Tianjin Guqi International Trade Co., Ltd.",China,,Wechat-15 years,Hana,
S-301,,,,,,China,,,,
S-302,,,,,,China,,,,
S-303,,,,,,China,,,,
S-304,phoenix contact,927,,wechat Num : 13916709240,"Shanghai Kama Technical Service Co., Ltd.",China,,Wechat-2 years,jasmine ,
S-305,Emerson,930,,wechat ID : AK6568868,,China,,,jasmine ,
S-306,West,938,,wechat Num: 18018584849,"Cenwen Technology Development Co., Ltd.",China,,Wechat-9 years,jasmine ,not add
S-307,West,938,,wechat Num:17749759786,"Shanghai Zhenrong Industrial Co., Ltd.",China,,Wechat-6 years,jasmine ,not add
S-308,Schneider,933,,wechat Num:17750617628,"Xiamen Yuguan Trading Co., Ltd.",China,,Wechat-9 years,Hana,
S-309,KROHNE,934,,Wechat Num:13917179816,"Shanghai Kangchu Mechanical and Electrical Equipment Co., Ltd.",China,,Wechat-16 years,Hana,
S-31,,,,,,,,,,
S-310,Yokogawa,950,,Wechat Num:1802915130,"Dongguan Fuanchuan Automation Equipment Technology Co., Ltd.",China,,Wechat-5 years,jasmine ,
S-311,B&R,952,,Wechat Num:18379860284,"Shenzhen Beishangguang Intelligent Equioment Co., Ltd.",China,,Wechat-8 years,jasmine ,
S-312,Belden ,823,,whatsapp Num: +971 56 418 1548,ULTRA STREAM TECHNOLOGIES LLC. ,China,,,jasmine ,
S-313,AUTEM,823,,email :world@autem.de,AUTEM GmbH,Germany,,main company,jasmine ,
S-314,TRAFOMODERN,956,,Wechat Num: 13425993999,Foshan Nanhai Dianben Electronics Factory,China,,Wechat-special mark,Hana,
S-315,Schnnieder,975,,Wechat Num: 15220223991,"Shajing Decheng Mechanical and Electrical Trading Co., Ltd., Baoan District, Shenzhen City",china,,Wechat-8 years,Hana,
S-316,Schnnieder,975,,Wechat Num: 180-220-90716,"Shiling Electrical Appliances Co., Ltd., Xiaolan Town, Zhongshan City",China ,,Wechat-16 years,Hana ,
S-317,Red Lion,823,,Wechat Num:  172-7459-3943 ,"Shanghai Linglin Automation Technology Co., Ltd.",China ,,Wechat-7 years,Hana,
S-318,Red Lion,824,,Wechat Num: 189 3983 4313,"Shanghai Vector Automation Co., Ltd.",China,,Wechat-3 years ,Hana,not add
S-319,Parker,959,,Wechat ID: Zj15919887287 ,-,China,,Wechat-161's offer,Hana,
S-32,,,,,,,,,,
S-320,ABB,963,,Wechat Num: ,Wait,,,,,
S-321,Erhardt+Leimer,997,,Wechat Num: 13760614501,"Guangzhou Laijie Electric Co., Ltd.",China,,Wechat-14 years,Hana,
S-322,DNH AS,990,,"Email: hhq@kexianda-cn.com
Wechat Number: 13601507102",Changzhou Kexianda Comtech Co,China,,Main Supplier,Alexander Lee,
S-323,Weidmuller,990,,Wechat ID: 13380885225,Wait,China,,,Alexander Lee,
S-324,Weidmuller,990,,Wechat Num: ,Wait,China,,,Sophi,
S-325,Hirschmann,823,,Wechat Num: 18602186679,"Shanghai Sanxin Electronic Technology Co., Ltd.",China,,Wechat-15 years,Hana,
S-326,Foxboro,1016,,Wechat Num: 13313705507,"Xiamen Xiongba E-commerce Co., Ltd. Zhangzhou Branch",China,,Wechat-5 years,Hana,
S-327,Landis+gyr,1030,,Wechat Num: 18709206318,"Xi'an Juran Building Intelligent Automation Co., Ltd.",China,,Wechat- 10 years,Hana,
S-328,Landis+gyr,1031,,Wechat Num: 13131850139,"Beijing Rongshen Technology Co., Ltd.",China,,Wechat-11 years,Hana,
S-329,KROOHNE,1025,,Wechat Num: 13730265835,"Zhuoer Ruihua (Beijing) Technology Co., Ltd.",China,,Wechat-Special mark,Hana,
S-33,,,,,,,,,,
S-330,ADLINK,1028,,Wechat Num: 18610448288,"Beijing Huachuang Zhicheng Technology Co., Ltd.",China,,1688 - 16 Year,Alexander Lee,
S-331,Osram,625,,Wechat Num: 15813170499,,,,,,
S-332,MENNEKES,1069,,Wechat Num: 15820092082,"Shandong Kaimei Electric Co., Ltd.",china,,Wechat-15 years,Hana,
S-333,MENNEKES,1069,,Wechat Num: 15088990857,"Nanjing Suokai Electric Co., Ltd.",China,,Wechat-15 years,Hana,
S-334,MENNEKES,1069,,Wechat Num: 15822117979,"Tianjin Wellstar Technology Co., Ltd.",China ,,Wechat -12 years,Hana,
S-335,Weidmuller,1078,,Wechat Num: 18857793535,"Yueqing Haile Cable Accessories Co., Ltd.",China,,Wechat-12 years,Hana,
S-336,Foxboro,1016,1016,Wechat ID: jenny5540,Xiamen Xingruijia Import and Export Co,China,,,Alexander Lee,
S-337,ABB,1085,,Wechat Num: 15820483830,"Shenzhen Yangchen Automation Technology Co., Ltd.",China,,Wechat-10 years,Hana,
S-338,Resideo ,1096,,Wechat Num: 13761373166,"Shanghai Qinqi Mechanical and Electrical Equipment Co., Ltd.",China,,wechat-14 years,Hana,
S-339,Rittal,1139,,Wechat Num: 18676082898,"Guangzhou Jiahan Mechanical and Electrical Equipment Co., Ltd.",China,,Wechat-13 years,Hana,
S-34,,,,,,,,,,
